,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,1,0.756152125279642
1,Afghanistan,2018,1,1,0.7785234899328859
2,Afghanistan,2019,0,1,0.8042505592841164
3,Afghanistan,2020,1,1,0.8165548098434005
4,Afghanistan,2021,1,1,0.8187919463087249
5,Afghanistan,2022,1,1,0.7986577181208053
6,Afghanistan,2023,1,1,0.772930648769575
7,Albania,2018,1,0,0.3534675615212528
8,Albania,2019,1,0,0.3579418344519016
9,Albania,2020,1,0,0.36577181208053694
10,Albania,2021,1,0,0.36465324384787473
11,Albania,2022,0,0,0.37472035794183445
12,Albania,2023,0,0,0.37472035794183445
13,Algeria,2017,1,1,0.9038031319910514
14,Algeria,2018,1,1,0.9082774049217002
15,Algeria,2019,1,1,0.9082774049217002
16,Algeria,2020,1,1,0.9071588366890381
17,Algeria,2021,1,1,0.9082774049217002
18,Algeria,2022,1,1,0.9082774049217002
19,Algeria,2023,1,1,0.8870246085011185
20,Angola,2017,1,0,0.0738255033557047
21,Angola,2018,0,0,0.1331096196868009
22,Angola,2019,1,0,0.2080536912751678
23,Angola,2020,1,0,0.348993288590604
24,Angola,2021,1,0,0.3825503355704698
25,Angola,2022,1,0,0.39038031319910516
26,Angola,2023,1,0,0.38814317673378074
27,Argentina,2018,1,1,0.6286353467561522
28,Argentina,2019,1,1,0.6308724832214765
29,Argentina,2020,1,1,0.6319910514541387
30,Argentina,2021,1,1,0.6319910514541387
31,Argentina,2022,1,1,0.6353467561521253
32,Argentina,2023,1,1,0.6375838926174496
33,Armenia,2018,1,0,0.2897091722595078
34,Armenia,2019,1,0,0.28859060402684567
35,Armenia,2020,1,0,0.28859060402684567
36,Armenia,2021,1,0,0.2829977628635347
37,Armenia,2022,0,0,0.2841163310961969
38,Armenia,2023,0,0,0.2807606263982103
39,Australia,2021,1,0,0.37360178970917224
40,Australia,2022,1,0,0.37472035794183445
41,Australia,2023,1,0,0.3680089485458613
42,Austria,2020,1,0,0.39932885906040266
43,Austria,2021,1,0,0.4015659955257271
44,Austria,2022,1,0,0.40492170022371365
45,Austria,2023,1,0,0.4608501118568233
46,Azerbaijan,2018,0,0,0.49217002237136465
47,Azerbaijan,2019,0,0,0.4843400447427293
48,Azerbaijan,2020,1,0,0.4988814317673378
