,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,1,0.6708701686952808
1,Afghanistan,2018,1,1,0.6342600896860988
2,Afghanistan,2019,0,1,0.6105487935084348
3,Afghanistan,2020,1,1,0.5118463947611929
4,Afghanistan,2021,1,0,0.48197665314257226
5,Afghanistan,2022,1,0,0.47713004484304933
6,Afghanistan,2023,1,0,0.45615203929105286
7,Albania,2018,1,1,0.9090721759555843
8,Albania,2019,1,1,0.894611360239163
9,Albania,2020,1,1,0.9367606235319241
10,Albania,2021,1,1,0.8830301089045487
11,Albania,2022,0,1,0.8364926329276108
12,Albania,2023,0,1,0.8293732650010677
13,Algeria,2017,1,1,0.9920478325859491
14,Algeria,2018,1,1,0.9555541319666881
15,Algeria,2019,1,1,0.8976980568011957
16,Algeria,2020,1,1,0.8974240159441953
17,Algeria,2021,1,1,0.9825710014947683
18,Algeria,2022,1,1,0.8981774503523382
19,Algeria,2023,1,1,0.8985511424300663
20,Angola,2017,1,0,0.31344223788169995
21,Angola,2018,0,0,0.4563944052957507
22,Angola,2019,1,1,0.6843504875791872
23,Angola,2020,1,1,0.7884283578902412
24,Angola,2021,1,1,0.5515460175101428
25,Angola,2022,1,1,0.5718435475834579
26,Angola,2023,1,1,0.6849031959570078
27,Argentina,2018,1,1,0.6780404299238381
28,Argentina,2019,1,1,0.6762296248843335
29,Argentina,2020,1,1,0.6679806391914016
30,Argentina,2021,1,1,0.6782148195601111
31,Argentina,2022,1,1,0.6733119795003204
32,Argentina,2023,1,1,0.6346142074168981
33,Armenia,2018,1,1,0.8340081144565449
34,Armenia,2019,1,1,0.7076426015439466
35,Armenia,2020,1,1,0.9091170190049114
36,Armenia,2021,1,1,0.8601206491565235
37,Armenia,2022,0,1,0.6107506519389925
38,Armenia,2023,0,1,0.5979063213816576
39,Australia,2021,1,1,0.7589807103708451
40,Australia,2022,1,1,0.7139757278098089
41,Australia,2023,1,1,0.6849729518115172
42,Austria,2020,1,1,0.6472101217168482
43,Austria,2021,1,1,0.6305733504163998
44,Austria,2022,1,1,0.553514905622529
45,Austria,2023,1,1,0.5694939788661765
46,Azerbaijan,2018,0,1,0.567687444593274
47,Azerbaijan,2019,0,1,0.5968653220222724
48,Azerbaijan,2020,1,1,0.8259078938002702
49,Azerbaijan,2021,0,1,0.6227863840195677
50,Azerbaijan,2022,0,1,0.5919251127547088
51,Azerbaijan,2023,0,1,0.6028881706235962
52,Bahrain,2017,1,0,0.4394775428856146
53,Bahrain,2018,1,1,0.5204174674354045
54,Bahrain,2019,1,1,0.5419997864616697
55,Bahrain,2020,1,1,0.5684774717061709
56,Bahrain,2021,1,0,0.4820254110612852
57,Bahrain,2022,1,0,0.46120435618193434
58,Bahrain,2023,1,0,0.4406523595985477
59,Bangladesh,2017,1,1,0.9536109331625028
60,Bangladesh,2018,1,1,0.9509801409352979
61,Bangladesh,2019,1,1,0.9283806676631788
