,country,year,d_ns,preds_proba,preds
0,United States of America,2017,0,0.059601557345158436,0
1,United States of America,2018,0,0.06141192108296466,0
2,United States of America,2019,1,0.07186876503074849,0
3,United States of America,2020,0,0.17784619312996025,0
4,United States of America,2021,0,0.05633391795838667,0
5,United States of America,2022,1,0.0726497572247333,0
6,United States of America,2023,0,0.3177296019493774,0
7,Canada,2017,0,0.01874732502771193,0
8,Canada,2018,0,0.0484067593723198,0
9,Canada,2019,0,0.02237285164072937,0
10,Canada,2020,0,0.06950986179219758,0
11,Canada,2021,0,0.10536538255915515,0
12,Canada,2022,0,0.12916312762996787,0
13,Canada,2023,0,0.19802161296470772,0
14,Cuba,2017,0,0.016310842999969898,0
15,Cuba,2018,0,0.016310842999969898,0
16,Cuba,2019,0,0.017511987674696552,0
17,Cuba,2020,0,0.01761056250765712,0
18,Cuba,2021,0,0.03242527186770461,0
19,Cuba,2022,0,0.033462351817621826,0
20,Cuba,2023,0,0.03596677338678727,0
21,Haiti,2017,0,0.04958406111059696,0
22,Haiti,2018,0,0.043782754088164094,0
23,Haiti,2019,0,0.06461707008815779,0
24,Haiti,2020,0,0.09401019752940934,0
25,Haiti,2021,1,0.12062005029194406,0
26,Haiti,2022,1,0.25879380032448507,0
27,Haiti,2023,1,0.2676534219189337,0
28,Dominican Republic,2017,0,0.01871346657208526,0
29,Dominican Republic,2018,0,0.023658787843111533,0
30,Dominican Republic,2019,0,0.024132894570767144,0
31,Dominican Republic,2020,0,0.03687647733266311,0
32,Dominican Republic,2021,0,0.034131307765664524,0
33,Dominican Republic,2022,0,0.05378484224867339,0
34,Dominican Republic,2023,0,0.059832776057279366,0
35,Jamaica,2017,0,0.019959688776892796,0
36,Jamaica,2018,0,0.018025012643120085,0
37,Jamaica,2019,0,0.04517917097787913,0
38,Jamaica,2020,0,0.07267938568752641,0
39,Jamaica,2021,0,0.011858732819389373,0
40,Jamaica,2022,0,0.013225392358463171,0
41,Jamaica,2023,0,0.01755830982450529,0
42,Trinidad and Tobago,2017,0,0.005300253709212559,0
43,Trinidad and Tobago,2018,0,0.004202898894089737,0
44,Trinidad and Tobago,2019,0,0.013481629741065366,0
45,Trinidad and Tobago,2020,0,0.019016922808079734,0
46,Trinidad and Tobago,2021,0,0.015044368661165607,0
47,Trinidad and Tobago,2022,0,0.01396057924770236,0
48,Trinidad and Tobago,2023,0,0.014139531385569223,0
49,Barbados,2017,0,0.0026854143705818964,0
50,Barbados,2018,0,0.003629909730987325,0
51,Barbados,2019,0,0.0048545859391481185,0
52,Barbados,2020,0,0.00434348615156645,0
53,Barbados,2021,0,0.001237837335292436,0
54,Barbados,2022,0,0.0011251803833375023,0
55,Barbados,2023,0,0.006435692187618412,0
56,Mexico,2017,1,0.8505307396493426,1
57,Mexico,2018,1,0.800832663727062,1
58,Mexico,2019,1,0.7696154960357812,1
59,Mexico,2020,1,0.6773569686026126,1
60,Mexico,2021,1,0.7297002422547398,1
61,Mexico,2022,1,0.7355648853685613,1
62,Mexico,2023,1,0.6360219592892092,1
63,Guatemala,2017,0,0.25457091131145293,0
64,Guatemala,2018,0,0.20714005156260426,0
65,Guatemala,2019,0,0.2609340845020293,0
66,Guatemala,2020,0,0.19556638031015308,0
67,Guatemala,2021,0,0.2161411163276027,0
68,Guatemala,2022,1,0.20008921745743435,0
69,Guatemala,2023,0,0.33940203538595737,0
70,Honduras,2017,0,0.7014102662035586,1
71,Honduras,2018,1,0.639741310038268,1
72,Honduras,2019,1,0.6650140087424466,1
73,Honduras,2020,1,0.6578089852702196,1
74,Honduras,2021,1,0.6173783991551696,1
75,Honduras,2022,1,0.5720608695407841,1
76,Honduras,2023,1,0.6046475764601797,1
77,El Salvador,2017,0,0.05829175710546318,0
78,El Salvador,2018,0,0.07058273464802257,0
79,El Salvador,2019,0,0.049593523057322245,0
80,El Salvador,2020,0,0.049668218424654534,0
81,El Salvador,2021,0,0.053863252875582246,0
82,El Salvador,2022,0,0.11382651434848073,0
83,El Salvador,2023,0,0.0634993003526649,0
84,Nicaragua,2017,0,0.07042385911242795,0
85,Nicaragua,2018,0,0.1294247321926661,0
86,Nicaragua,2019,0,0.15686217367292377,0
87,Nicaragua,2020,0,0.10617766237432225,0
88,Nicaragua,2021,0,0.07397962821786697,0
89,Nicaragua,2022,0,0.07405091849437136,0
90,Nicaragua,2023,0,0.07764152939819628,0
91,Costa Rica,2017,0,0.019446425346386666,0
92,Costa Rica,2018,0,0.02775127346846632,0
93,Costa Rica,2019,0,0.025812904912466506,0
94,Costa Rica,2020,0,0.025253102628799217,0
95,Costa Rica,2021,0,0.028423150641683666,0
96,Costa Rica,2022,0,0.04426296096598395,0
97,Costa Rica,2023,0,0.05055540523749829,0
98,Panama,2017,0,0.0140141322892536,0
99,Panama,2018,0,0.041316992454919335,0
100,Panama,2019,0,0.04358394593364092,0
101,Panama,2020,0,0.04947842837528747,0
102,Panama,2021,0,0.05340087500585357,0
103,Panama,2022,0,0.04927705952492382,0
104,Panama,2023,0,0.05513209427015415,0
105,Colombia,2017,1,0.052771079803419225,0
106,Colombia,2018,1,0.24131512920077475,0
107,Colombia,2019,1,0.24048300597108455,0
108,Colombia,2020,1,0.24622495042307155,0
109,Colombia,2021,1,0.24981245699999166,0
110,Colombia,2022,1,0.23269832456905196,0
111,Colombia,2023,1,0.22509021370956045,0
112,Venezuela,2017,0,0.08036771976130641,0
