,country,year,d_osv,preds_proba,preds
0,United States of America,2017,1,0.32647840102951964,0
1,United States of America,2018,1,0.38047342714782995,0
2,United States of America,2019,0,0.37689948153397446,0
3,United States of America,2020,0,0.3103359883980131,0
4,United States of America,2021,0,0.31522484593492717,0
5,United States of America,2022,0,0.30311342107700395,0
6,United States of America,2023,0,0.3087376059786333,0
7,Canada,2017,0,0.020259880332255235,0
8,Canada,2018,0,0.026524624065905427,0
9,Canada,2019,0,0.02783228786563238,0
10,Canada,2020,0,0.03313867305459059,0
11,Canada,2021,0,0.048782392599109485,0
12,Canada,2022,0,0.052680991369531624,0
13,Canada,2023,0,0.05789155349107746,0
14,Cuba,2017,0,0.004091468028706107,0
15,Cuba,2018,0,0.00430752341474667,0
16,Cuba,2019,0,0.004101695391261271,0
17,Cuba,2020,0,0.00454138055408084,0
18,Cuba,2021,0,0.005346421607481076,0
19,Cuba,2022,0,0.024423385965960498,0
20,Cuba,2023,0,0.02446569418739281,0
21,Haiti,2017,1,0.08771051910244271,0
22,Haiti,2018,1,0.20009678716615092,0
23,Haiti,2019,1,0.2118267725990948,0
24,Haiti,2020,1,0.2568174163204807,0
25,Haiti,2021,1,0.29012856723478675,0
26,Haiti,2022,1,0.32584441391118985,0
27,Haiti,2023,1,0.3229626081836131,0
28,Dominican Republic,2017,0,0.00850367097623573,0
29,Dominican Republic,2018,0,0.01567839430186494,0
30,Dominican Republic,2019,0,0.023049858053066252,0
31,Dominican Republic,2020,0,0.016353679689528812,0
32,Dominican Republic,2021,0,0.019873459603287378,0
33,Dominican Republic,2022,0,0.022566495243699122,0
34,Dominican Republic,2023,0,0.035507329573262976,0
35,Jamaica,2017,0,0.0013878962261395299,0
36,Jamaica,2018,0,0.001129917049869719,0
37,Jamaica,2019,0,0.004930309867084103,0
38,Jamaica,2020,0,0.0010037345391603592,0
39,Jamaica,2021,0,0.0012271757040241643,0
40,Jamaica,2022,0,0.021884877559583495,0
41,Jamaica,2023,0,0.09831782601193592,0
42,Trinidad and Tobago,2017,0,0.002031588080045175,0
43,Trinidad and Tobago,2018,0,0.002031588080045175,0
44,Trinidad and Tobago,2019,0,0.009759773947811152,0
45,Trinidad and Tobago,2020,0,0.010750785597760694,0
46,Trinidad and Tobago,2021,0,0.004445791240856351,0
47,Trinidad and Tobago,2022,0,0.004197122448823169,0
48,Trinidad and Tobago,2023,0,0.01885376552736868,0
49,Barbados,2017,0,0.03167659917478323,0
50,Barbados,2018,0,0.028769312852986274,0
51,Barbados,2019,0,0.09212080372561443,0
52,Barbados,2020,0,0.11158903104106974,0
53,Barbados,2021,0,0.004109652736909089,0
54,Barbados,2022,0,0.07340488493169806,0
55,Barbados,2023,0,0.05850662291186591,0
56,Mexico,2017,1,0.8536480302119991,1
