,country,year,d_protest,preds_proba,preds
0,Afghanistan,2017,1,0.5111896608475733,1
1,Afghanistan,2018,1,0.5403046870136067,1
2,Afghanistan,2019,1,0.566759042429679,1
3,Afghanistan,2020,1,0.554207159235333,1
4,Afghanistan,2021,1,0.599768446754732,1
5,Afghanistan,2022,1,0.6514634150772091,1
6,Afghanistan,2023,1,0.6491230654974004,1
7,Albania,2018,1,0.6407499733125621,1
8,Albania,2019,1,0.6494072453039257,1
9,Albania,2020,1,0.6442956846343604,1
10,Albania,2021,1,0.6476085475543398,1
11,Albania,2022,1,0.6474940260801972,1
12,Albania,2023,1,0.6309557715348169,1
13,Algeria,2017,1,0.8927909939317801,1
14,Algeria,2018,1,0.8435255687760296,1
15,Algeria,2019,1,0.8185554760161351,1
16,Algeria,2020,1,0.8142174592018623,1
17,Algeria,2021,1,0.791810455322372,1
18,Algeria,2022,1,0.7781121641851356,1
19,Algeria,2023,1,0.7192195821962323,1
20,Angola,2017,1,0.14740534330261834,0
21,Angola,2018,1,0.15329337078252725,0
22,Angola,2019,1,0.18373666986481707,0
23,Angola,2020,1,0.21069388948597306,0
24,Angola,2021,1,0.22988591708246775,0
25,Angola,2022,1,0.24459747912202237,0
26,Angola,2023,1,0.23929110335983178,0
27,Argentina,2018,1,0.6888445809471732,1
28,Argentina,2019,1,0.7024308567428007,1
29,Argentina,2020,1,0.6971536728859113,1
30,Argentina,2021,1,0.7013479334722358,1
31,Argentina,2022,1,0.6944007117800964,1
32,Argentina,2023,1,0.6744387586761439,1
33,Armenia,2018,1,0.7316038872419803,1
34,Armenia,2019,1,0.7422046008277333,1
35,Armenia,2020,1,0.7779009672543569,1
36,Armenia,2021,1,0.7627253009445549,1
37,Armenia,2022,1,0.7403161827457765,1
38,Armenia,2023,1,0.7354629921667248,1
39,Australia,2021,1,0.6460135553092924,1
40,Australia,2022,1,0.634811019501702,1
41,Australia,2023,1,0.6151454092457916,1
42,Austria,2020,1,0.6403155811865143,1
43,Austria,2021,1,0.6457133906206607,1
44,Austria,2022,1,0.6421312643585793,1
45,Austria,2023,1,0.6162610118359394,1
46,Azerbaijan,2018,1,0.7371780153796259,1
47,Azerbaijan,2019,1,0.7419702427433978,1
48,Azerbaijan,2020,1,0.7669979657676467,1
49,Azerbaijan,2021,1,0.7491831498778805,1
50,Azerbaijan,2022,1,0.7505694446586707,1
51,Azerbaijan,2023,1,0.7217292759945282,1
52,Bahrain,2017,1,0.7115610577198108,1
53,Bahrain,2018,1,0.69173231446482,1
54,Bahrain,2019,1,0.6684217121059952,1
55,Bahrain,2020,1,0.6479654283450194,1
56,Bahrain,2021,1,0.5723856390257571,1
57,Bahrain,2022,1,0.5878672646652819,1
