,country,year,d_riot,preds_proba,preds
0,Afghanistan,2017,0,0.6130493411843204,1
1,Afghanistan,2018,1,0.6125982924890832,1
2,Afghanistan,2019,0,0.8101382743359165,1
3,Afghanistan,2020,1,0.4974754220662546,0
4,Afghanistan,2021,1,0.8006416246011209,1
5,Afghanistan,2022,1,0.7963449292498002,1
6,Afghanistan,2023,1,0.7868650178561473,1
7,Albania,2018,1,0.6480407977364384,1
8,Albania,2019,1,0.7358468916498113,1
9,Albania,2020,1,0.7343771606499199,1
10,Albania,2021,1,0.7217856867075555,1
11,Albania,2022,0,0.7294494041424019,1
12,Albania,2023,0,0.43162769647623983,0
13,Algeria,2017,1,0.8980487984118084,1
14,Algeria,2018,1,0.9107666890211754,1
15,Algeria,2019,1,0.9134499208146176,1
16,Algeria,2020,1,0.8471752388511372,1
17,Algeria,2021,1,0.8894168987430553,1
18,Algeria,2022,1,0.8172231488966727,1
19,Algeria,2023,1,0.777586773669003,1
20,Angola,2017,1,0.20973949576558365,0
21,Angola,2018,0,0.4325704211102749,0
22,Angola,2019,1,0.5101673721412154,1
23,Angola,2020,1,0.5456025476666276,1
24,Angola,2021,1,0.6319927362392207,1
25,Angola,2022,1,0.7082965570737084,1
26,Angola,2023,1,0.5292303699583625,1
27,Argentina,2018,1,0.6893070269572069,1
28,Argentina,2019,1,0.7651344493363178,1
29,Argentina,2020,1,0.775376699282051,1
30,Argentina,2021,1,0.787109453863512,1
31,Argentina,2022,1,0.7730816369408089,1
32,Argentina,2023,1,0.7714992206094382,1
33,Armenia,2018,1,0.37679456925067756,0
34,Armenia,2019,1,0.6080779337246179,1
35,Armenia,2020,1,0.673181450824007,1
36,Armenia,2021,1,0.6397619668054553,1
37,Armenia,2022,0,0.6047552304000716,1
38,Armenia,2023,0,0.4211093706599528,0
39,Australia,2021,1,0.5975448987459473,1
40,Australia,2022,1,0.7043978606872341,1
41,Australia,2023,1,0.7002108219790096,1
42,Austria,2020,1,0.6211282932139773,1
43,Austria,2021,1,0.7116385674862187,1
44,Austria,2022,1,0.7052701616695637,1
45,Austria,2023,1,0.7101346539364174,1
46,Azerbaijan,2018,0,0.36918125611757024,0
47,Azerbaijan,2019,0,0.3754988858356093,0
48,Azerbaijan,2020,1,0.4175958993251008,0
49,Azerbaijan,2021,0,0.6298662747437258,1
50,Azerbaijan,2022,0,0.40624703599226464,0
51,Azerbaijan,2023,0,0.417066864465069,0
52,Bahrain,2017,1,0.6432532760509153,1
53,Bahrain,2018,1,0.6826280851104611,1
54,Bahrain,2019,1,0.5335663079380006,1
55,Bahrain,2020,1,0.5185203298123382,1
56,Bahrain,2021,1,0.5429533701042635,1
57,Bahrain,2022,1,0.6053003070168173,1
58,Bahrain,2023,1,0.6162792596172162,1
59,Bangladesh,2017,1,0.8665141523727047,1
60,Bangladesh,2018,1,0.8958208954228167,1
61,Bangladesh,2019,1,0.7247030583345953,1
