,country,year,d_sb,preds_proba,preds
0,United States of America,2017,0,0.04232161766638537,0
1,United States of America,2018,0,0.0663004399466119,0
2,United States of America,2019,0,0.0647128493083409,0
3,United States of America,2020,0,0.06208180385724009,0
4,United States of America,2021,0,0.07813493034154206,0
5,United States of America,2022,0,0.1016590839927394,0
6,United States of America,2023,0,0.1431669191252428,0
7,Canada,2017,0,0.004001977992583606,0
8,Canada,2018,0,0.004594186994280094,0
9,Canada,2019,0,0.005573382181557426,0
10,Canada,2020,0,0.013179611788477288,0
11,Canada,2021,0,0.020199799956373533,0
12,Canada,2022,0,0.05692439087091112,0
13,Canada,2023,0,0.06073294940417674,0
14,Cuba,2017,0,0.006410861249850761,0
15,Cuba,2018,0,0.011829192093011243,0
16,Cuba,2019,0,0.01333584951576744,0
17,Cuba,2020,0,0.01720059868388333,0
18,Cuba,2021,0,0.027010029010986824,0
19,Cuba,2022,0,0.05391254776706399,0
20,Cuba,2023,0,0.048038446672293546,0
21,Haiti,2017,0,0.055328832393234884,0
22,Haiti,2018,0,0.06191106975311236,0
23,Haiti,2019,0,0.09788658721403187,0
24,Haiti,2020,0,0.13214471808433642,0
25,Haiti,2021,0,0.14798932727861763,0
26,Haiti,2022,0,0.27667641319085345,0
27,Haiti,2023,0,0.29945782840330604,0
28,Dominican Republic,2017,0,0.02111774347546568,0
29,Dominican Republic,2018,0,0.02977960369132242,0
30,Dominican Republic,2019,0,0.042624686767156465,0
31,Dominican Republic,2020,0,0.06507850149977303,0
32,Dominican Republic,2021,0,0.07282680414092663,0
33,Dominican Republic,2022,0,0.17934414164378765,0
34,Dominican Republic,2023,0,0.1901899282925496,0
35,Jamaica,2017,0,0.005948539241446784,0
36,Jamaica,2018,0,0.011651435623311477,0
37,Jamaica,2019,0,0.013026308918392477,0
38,Jamaica,2020,0,0.010976161289149494,0
39,Jamaica,2021,0,0.011570826292375689,0
40,Jamaica,2022,0,0.028384509788906543,0
41,Jamaica,2023,0,0.05450597712525933,0
42,Trinidad and Tobago,2017,0,0.007684831212503532,0
43,Trinidad and Tobago,2018,0,0.008005552182455907,0
44,Trinidad and Tobago,2019,0,0.006382710095135016,0
45,Trinidad and Tobago,2020,0,0.012880669518373895,0
46,Trinidad and Tobago,2021,0,0.010115550303438551,0
47,Trinidad and Tobago,2022,0,0.13720324209974027,0
48,Trinidad and Tobago,2023,0,0.13154462892642674,0
49,Barbados,2017,0,0.006160916265333049,0
50,Barbados,2018,0,0.007293524644936126,0
51,Barbados,2019,0,0.010367147630019141,0
52,Barbados,2020,0,0.017417815678221146,0
53,Barbados,2021,0,0.004900397174718327,0
54,Barbados,2022,0,0.10756207262377976,0
55,Barbados,2023,0,0.1136069449067555,0
56,Mexico,2017,0,0.05721695975894897,0
57,Mexico,2018,0,0.06211277904701936,0
58,Mexico,2019,0,0.0842216849731998,0
59,Mexico,2020,0,0.0883172313946907,0
60,Mexico,2021,0,0.08726654868831234,0
61,Mexico,2022,0,0.11743925473343414,0
62,Mexico,2023,0,0.17197625791710502,0
63,Guatemala,2017,0,0.009427319381964514,0
64,Guatemala,2018,0,0.01046609564117548,0
65,Guatemala,2019,0,0.01684480620936716,0
66,Guatemala,2020,0,0.025340444131529673,0
67,Guatemala,2021,0,0.028128164343787142,0
68,Guatemala,2022,0,0.056869959687687224,0
69,Guatemala,2023,0,0.06820260067547233,0
70,Honduras,2017,0,0.009437256847116677,0
71,Honduras,2018,0,0.009788271805444606,0
72,Honduras,2019,0,0.01957869232377737,0
73,Honduras,2020,0,0.02912148591388833,0
74,Honduras,2021,0,0.032865380766348345,0
75,Honduras,2022,0,0.023739794396519714,0
76,Honduras,2023,0,0.041806141163257565,0
77,El Salvador,2017,0,0.03140943906497766,0
78,El Salvador,2018,0,0.040826489501718854,0
79,El Salvador,2019,0,0.036260087196254356,0
80,El Salvador,2020,0,0.06601206066272247,0
81,El Salvador,2021,0,0.0806656783474751,0
82,El Salvador,2022,0,0.15840703145790946,0
83,El Salvador,2023,0,0.1717965692501302,0
84,Nicaragua,2017,0,0.03222049648396176,0
85,Nicaragua,2018,0,0.12275750355807133,0
86,Nicaragua,2019,0,0.13584685728340617,0
87,Nicaragua,2020,0,0.08083518541536093,0
88,Nicaragua,2021,0,0.07772959060600537,0
89,Nicaragua,2022,0,0.2519246225064333,0
90,Nicaragua,2023,0,0.2624236429000029,0
91,Costa Rica,2017,0,0.00873148768403511,0
92,Costa Rica,2018,0,0.013277707770900676,0
93,Costa Rica,2019,0,0.007277365431047914,0
94,Costa Rica,2020,0,0.005346916694462316,0
95,Costa Rica,2021,0,0.0065024939561575575,0
96,Costa Rica,2022,0,0.006345947594077545,0
97,Costa Rica,2023,0,0.025717202783299496,0
98,Panama,2017,0,0.01524296452424245,0
99,Panama,2018,0,0.0429736384717526,0
100,Panama,2019,0,0.03524612024035762,0
101,Panama,2020,0,0.03905160406361711,0
102,Panama,2021,0,0.04324380501266367,0
103,Panama,2022,0,0.04470111453773411,0
104,Panama,2023,0,0.15038807759888137,0
105,Colombia,2017,1,0.88096916467325,1
106,Colombia,2018,1,0.825547264467531,1
107,Colombia,2019,1,0.7926828269714875,1
108,Colombia,2020,1,0.8011261207655244,1
109,Colombia,2021,1,0.82875089979281,1
110,Colombia,2022,1,0.7834043514455391,1
111,Colombia,2023,1,0.7634460864003982,1
112,Venezuela,2017,0,0.12365941363345931,0
113,Venezuela,2018,0,0.1304053249413798,0
114,Venezuela,2019,0,0.16397067336566967,0
115,Venezuela,2020,0,0.18723111959120975,0
116,Venezuela,2021,0,0.2031616502795121,0
117,Venezuela,2022,0,0.20259652527281416,0
118,Venezuela,2023,0,0.19794402310360498,0
119,Guyana,2017,0,0.020841441321890593,0
120,Guyana,2018,0,0.022985936779978237,0
121,Guyana,2019,0,0.028476378507267183,0
122,Guyana,2020,0,0.023996832007348767,0
123,Guyana,2021,0,0.03420033962668893,0
124,Guyana,2022,0,0.06180165280550463,0
125,Guyana,2023,0,0.11460069600806645,0
126,Suriname,2017,0,0.007906709875486535,0
127,Suriname,2018,0,0.01006560415363206,0
128,Suriname,2019,0,0.035939905017190035,0
129,Suriname,2020,0,0.014651418534082743,0
130,Suriname,2021,0,0.016773794819925913,0
131,Suriname,2022,0,0.09657899758464805,0
132,Suriname,2023,0,0.13453146540515795,0
133,Ecuador,2017,0,0.04577994177690167,0
134,Ecuador,2018,0,0.05252502265711553,0
135,Ecuador,2019,1,0.05995658082557532,0
