,country,year,d_civil_war,preds_proba,preds
0,United States of America,2017,0,0.00047918965065478557,0
1,United States of America,2018,0,0.00047918965065478557,0
2,United States of America,2019,0,0.00047918965065478557,0
3,United States of America,2020,0,0.00047918965065478557,0
4,United States of America,2021,0,0.00047918965065478557,0
5,United States of America,2022,0,0.02447314279645726,0
6,United States of America,2023,0,0.095906146155529,0
7,Canada,2017,0,0.00047137730341074877,0
8,Canada,2018,0,0.003222755829289801,0
9,Canada,2019,0,0.0034780140834369667,0
10,Canada,2020,0,0.0037386271380128533,0
11,Canada,2021,0,0.0018892988889332482,0
12,Canada,2022,0,0.01762082131372198,0
13,Canada,2023,0,0.04150801046108778,0
14,Cuba,2017,0,0.00011991877412541066,0
15,Cuba,2018,0,0.0,0
16,Cuba,2019,0,0.0007195126447524638,0
17,Cuba,2020,0,0.0,0
18,Cuba,2021,0,0.0,0
19,Cuba,2022,0,0.018721542105975805,0
20,Cuba,2023,0,0.061597940153104394,0
21,Haiti,2017,0,0.004140183212074267,0
22,Haiti,2018,0,0.004718262459296606,0
23,Haiti,2019,0,0.0028381077464758827,0
24,Haiti,2020,0,0.05989405256839775,0
25,Haiti,2021,0,0.0621360174075889,0
26,Haiti,2022,0,0.11197204868645153,0
27,Haiti,2023,0,0.271385413247357,0
28,Dominican Republic,2017,0,0.0001376379160053185,0
29,Dominican Republic,2018,0,0.0001376379160053185,0
30,Dominican Republic,2019,0,0.0001376379160053185,0
31,Dominican Republic,2020,0,0.0001376379160053185,0
32,Dominican Republic,2021,0,0.0001376379160053185,0
33,Dominican Republic,2022,0,0.017722410995862595,0
34,Dominican Republic,2023,0,0.06378136056213621,0
35,Jamaica,2017,0,0.0,0
36,Jamaica,2018,0,0.0,0
37,Jamaica,2019,0,0.0017892929080691403,0
38,Jamaica,2020,0,0.0,0
39,Jamaica,2021,0,0.00023765426073419352,0
40,Jamaica,2022,0,0.01717136692918255,0
41,Jamaica,2023,0,0.0752446757097553,0
42,Trinidad and Tobago,2017,0,0.0,0
43,Trinidad and Tobago,2018,0,0.0,0
44,Trinidad and Tobago,2019,0,0.0,0
45,Trinidad and Tobago,2020,0,0.0,0
46,Trinidad and Tobago,2021,0,1.3992647225550985e-05,0
47,Trinidad and Tobago,2022,0,0.013826383242708856,0
48,Trinidad and Tobago,2023,0,0.059639170060774196,0
49,Barbados,2017,0,0.007147231116120622,0
50,Barbados,2018,0,0.004032113889182954,0
51,Barbados,2019,0,0.009881502154670492,0
52,Barbados,2020,0,0.00631222775902169,0
53,Barbados,2021,0,0.004015968526999626,0
54,Barbados,2022,0,0.0420958713998223,0
55,Barbados,2023,0,0.08832286639691825,0
56,Mexico,2017,0,0.0011032527219537779,0
57,Mexico,2018,0,0.026396625358603404,0
58,Mexico,2019,0,0.002412870533521276,0
59,Mexico,2020,0,0.0020291304563199615,0
60,Mexico,2021,0,0.0025083201069747473,0
61,Mexico,2022,0,0.03408275595616191,0
62,Mexico,2023,0,0.16017446701143578,0
63,Guatemala,2017,0,0.0011928619387127602,0
64,Guatemala,2018,0,0.005636066538966663,0
65,Guatemala,2019,0,0.007425359447035804,0
66,Guatemala,2020,0,0.005636066538966663,0
67,Guatemala,2021,0,0.005636066538966663,0
68,Guatemala,2022,0,0.016674299693269383,0
69,Guatemala,2023,0,0.060319200573295755,0
70,Honduras,2017,0,0.0,0
71,Honduras,2018,0,0.0,0
72,Honduras,2019,0,0.0,0
