,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,0,0.43616606073567155
1,Afghanistan,2018,1,0,0.43169910179640725
2,Afghanistan,2019,0,1,0.5709322426575422
3,Afghanistan,2020,1,1,0.5941358354719133
4,Afghanistan,2021,1,0,0.4281062874251497
5,Afghanistan,2022,1,0,0.420808383233533
6,Afghanistan,2023,1,0,0.38707317507841427
7,Albania,2018,1,0,0.1833556102081551
8,Albania,2019,1,0,0.1800621970345024
9,Albania,2020,1,0,0.13840444111776448
10,Albania,2021,1,0,0.16142447248360423
11,Albania,2022,0,0,0.1399157043056744
12,Albania,2023,0,0,0.1391672013116624
13,Algeria,2017,1,1,0.9779628243512973
14,Algeria,2018,1,1,0.9935192115768463
15,Algeria,2019,1,1,0.9937687125748502
16,Algeria,2020,1,1,0.9939558383233532
17,Algeria,2021,1,1,0.9875935628742515
18,Algeria,2022,1,1,0.9609869546621044
19,Algeria,2023,1,1,0.8872442614770456
20,Angola,2017,1,0,0.1512225548902196
21,Angola,2018,0,0,0.16525698602794414
22,Angola,2019,1,0,0.19588323353293413
23,Angola,2020,1,0,0.16744011976047907
24,Angola,2021,1,0,0.1666916167664671
25,Angola,2022,1,0,0.16364324921585405
26,Angola,2023,1,0,0.1551973434084213
27,Argentina,2018,1,1,0.945625847871357
28,Argentina,2019,1,1,0.9575329859761
29,Argentina,2020,1,1,0.9637954610259999
30,Argentina,2021,1,1,0.9637954610259999
31,Argentina,2022,1,1,0.9359060018491155
32,Argentina,2023,1,1,0.878014047662251
33,Armenia,2018,1,0,0.2705009083564472
34,Armenia,2019,1,0,0.2679559981768065
35,Armenia,2020,1,0,0.3370677746239123
36,Armenia,2021,1,0,0.4922547221574167
37,Armenia,2022,0,0,0.4976100828645738
38,Armenia,2023,0,0,0.49118726832050175
39,Australia,2021,1,0,0.4652801539777586
40,Australia,2022,1,0,0.45472982606216145
41,Australia,2023,1,0,0.4260948341412416
42,Austria,2020,1,1,0.8735846488840507
43,Austria,2021,1,1,0.8725153588926051
44,Austria,2022,1,1,0.8739589003810567
45,Austria,2023,1,1,0.8746450281255675
46,Azerbaijan,2018,0,1,0.9035999429712004
47,Azerbaijan,2019,0,1,0.8940565297975477
48,Azerbaijan,2020,1,1,0.9035999429712004
49,Azerbaijan,2021,0,1,0.8933080268035357
50,Azerbaijan,2022,0,1,0.8742179331812565
51,Azerbaijan,2023,0,1,0.8438584141241324
52,Bahrain,2017,1,1,0.8544613154643097
53,Bahrain,2018,1,1,0.8440758364223935
54,Bahrain,2019,1,1,0.8440758364223935
55,Bahrain,2020,1,1,0.8433273334283815
56,Bahrain,2021,1,1,0.8182302062541583
57,Bahrain,2022,1,1,0.7845333143237337
58,Bahrain,2023,1,1,0.7227443921680453
59,Bangladesh,2017,1,1,0.99847626176219
60,Bangladesh,2018,1,1,0.9978346877673225
61,Bangladesh,2019,1,1,0.9978346877673225
62,Bangladesh,2020,1,1,0.99847626176219
63,Bangladesh,2021,1,1,0.9970861847733106
64,Bangladesh,2022,1,1,0.9620520863035833
65,Bangladesh,2023,1,1,0.8973944967208437
66,Barbados,2018,0,0,0.19015688860374486
67,Barbados,2019,0,0,0.19913892453188858
68,Barbados,2020,0,0,0.1924023975857808
69,Barbados,2021,0,0,0.19614491255584068
70,Barbados,2022,0,0,0.1953964095618287
71,Barbados,2023,0,0,0.19726766704685864
72,Belarus,2018,0,0,0.45023761999809886
73,Belarus,2019,0,0,0.4498633685010929
74,Belarus,2020,1,0,0.44778003516775966
75,Belarus,2021,0,0,0.446994107024047
76,Belarus,2022,0,0,0.4411061804961504
77,Belarus,2023,0,0,0.42559672322022624
78,Belgium,2020,1,1,0.9642625463358997
79,Belgium,2021,1,1,0.9642625463358997
80,Belgium,2022,1,1,0.9427710056078319
81,Belgium,2023,1,1,0.9082982843836137
82,Benin,2017,0,0,0.23916595920712694
83,Benin,2018,1,0,0.44126449481988406
84,Benin,2019,1,0,0.48080025014905275
85,Benin,2020,1,0,0.4200173516603159
86,Benin,2021,1,0,0.25622232267067613
87,Benin,2022,1,0,0.26887380541946426
88,Benin,2023,1,0,0.2688060837200061
89,Bhutan,2020,0,0,0.088830374964357
90,Bhutan,2021,0,0,0.08859513116623895
91,Bhutan,2022,0,0,0.09054302110065583
92,Bhutan,2023,0,0,0.09238932848588537
93,Bolivia,2018,1,0,0.36314157399486746
94,Bolivia,2019,1,0,0.3635782007413745
95,Bolivia,2020,1,0,0.35690404904476764
96,Bolivia,2021,1,0,0.36432670373538645
97,Bolivia,2022,1,0,0.3639177003136585
98,Bolivia,2023,1,0,0.3531639102746888
99,Bosnia-Herzegovina,2018,1,0,0.39185020111292546
100,Bosnia-Herzegovina,2019,1,0,0.39185020111292546
101,Bosnia-Herzegovina,2020,0,0,0.39185020111292546
102,Bosnia-Herzegovina,2021,0,0,0.39185020111292546
103,Bosnia-Herzegovina,2022,0,0,0.3911016981189135
104,Bosnia-Herzegovina,2023,0,0,0.3891769761343112
105,Botswana,2017,0,0,0.11400561971295507
106,Botswana,2018,0,0,0.3427312042581504
107,Botswana,2019,0,0,0.11273316462313472
108,Botswana,2020,1,0,0.12619582264043347
109,Botswana,2021,0,0,0.045339677787282595
110,Botswana,2022,1,0,0.10848630120710959
111,Botswana,2023,1,0,0.12925013069099894
112,Brazil,2018,1,0,0.3759380049424961
113,Brazil,2019,1,0,0.3759380049424961
114,Brazil,2020,1,0,0.37743501093052
115,Brazil,2021,1,0,0.377684511928524
116,Brazil,2022,1,0,0.3394395732344835
117,Brazil,2023,1,0,0.32541048854671617
118,Bulgaria,2018,1,1,0.8967333190761334
119,Bulgaria,2019,1,1,0.8967333190761334
120,Bulgaria,2020,1,1,0.8963590675791274
121,Bulgaria,2021,1,1,0.8963590675791274
122,Bulgaria,2022,0,1,0.8774828319551373
123,Bulgaria,2023,0,1,0.8508658278680732
124,Burkina Faso,2017,1,1,0.9663586517441308
125,Burkina Faso,2018,1,1,0.9446104814181163
126,Burkina Faso,2019,1,1,0.9297277468871781
127,Burkina Faso,2020,1,1,0.9277495604030036
128,Burkina Faso,2021,1,1,0.9211876841554985
