,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,0,0.49248664736384345
1,Afghanistan,2018,1,0,0.49248664736384345
2,Afghanistan,2019,0,1,0.9980312035661217
3,Afghanistan,2020,1,0,0.2416223043386316
4,Afghanistan,2021,1,1,0.9967929668152551
5,Afghanistan,2022,1,1,0.9959509658246658
6,Afghanistan,2023,1,1,0.9924219910846955
7,Albania,2018,1,1,0.752103691231206
8,Albania,2019,1,1,0.9828221184461897
9,Albania,2020,1,1,0.9828221184461897
10,Albania,2021,1,1,0.9828221184461897
11,Albania,2022,0,1,0.9828221184461897
12,Albania,2023,0,0,0.240424752509579
13,Algeria,2017,1,1,0.8733533427693969
14,Algeria,2018,1,1,0.9348634478317691
15,Algeria,2019,1,1,0.978155586159417
16,Algeria,2020,1,1,0.8806640514199209
17,Algeria,2021,1,1,0.9588541384676363
18,Algeria,2022,1,1,0.9019426154873355
19,Algeria,2023,1,1,0.869572012865007
20,Angola,2017,1,0,0.04725656958197816
21,Angola,2018,0,1,0.5318486617345981
22,Angola,2019,1,1,0.6264770969794805
23,Angola,2020,1,1,0.5680742103351937
24,Angola,2021,1,1,0.8026750250147529
25,Angola,2022,1,1,0.9784435694857124
26,Angola,2023,1,1,0.5859787368899958
27,Argentina,2018,1,1,0.8205838391897656
28,Argentina,2019,1,1,0.9918187846493942
29,Argentina,2020,1,1,0.9918187846493942
30,Argentina,2021,1,1,0.9918187846493942
31,Argentina,2022,1,1,0.9918187846493942
32,Argentina,2023,1,1,0.9918187846493942
33,Armenia,2018,1,0,0.11078222792561598
34,Armenia,2019,1,1,0.7120988931989533
35,Armenia,2020,1,1,0.7120988931989533
36,Armenia,2021,1,1,0.6835044151988288
37,Armenia,2022,0,1,0.6816676973517096
38,Armenia,2023,0,0,0.13173014757137433
39,Australia,2021,1,1,0.685693009293035
40,Australia,2022,1,1,0.9889796929172858
41,Australia,2023,1,1,0.9889796929172858
42,Austria,2020,1,1,0.752103691231206
43,Austria,2021,1,1,0.9959509658246658
44,Austria,2022,1,1,0.9924219910846955
45,Austria,2023,1,1,0.9856824453406919
46,Azerbaijan,2018,0,0,0.11078222792561598
47,Azerbaijan,2019,0,0,0.1274047955511554
48,Azerbaijan,2020,1,0,0.09651865387378031
49,Azerbaijan,2021,0,1,0.6835044151988288
50,Azerbaijan,2022,0,0,0.12139534839818686
51,Azerbaijan,2023,0,0,0.2010837866597854
52,Bahrain,2017,1,1,0.6403847462397846
53,Bahrain,2018,1,1,0.7803665433276042
54,Bahrain,2019,1,1,0.5121101620080415
55,Bahrain,2020,1,0,0.48472034111453066
56,Bahrain,2021,1,1,0.6386713400468758
57,Bahrain,2022,1,1,0.839442430001201
58,Bahrain,2023,1,1,0.86993316878793
59,Bangladesh,2017,1,1,0.8026750250147529
60,Bangladesh,2018,1,1,0.9784435694857124
61,Bangladesh,2019,1,1,0.5859787368899958
62,Bangladesh,2020,1,1,0.7134474167349358
63,Bangladesh,2021,1,1,0.9675069209727568
64,Bangladesh,2022,1,1,0.903197587127843
65,Bangladesh,2023,1,1,0.9125787128037769
66,Barbados,2018,0,0,0.3140363392592219
67,Barbados,2019,0,0,0.3108870863328515
68,Barbados,2020,0,0,0.30654790561922807
69,Barbados,2021,0,0,0.36644944562958703
70,Barbados,2022,0,0,0.3338942923463507
71,Barbados,2023,0,0,0.40468468323332407
72,Belarus,2018,0,0,0.10682307002886521
73,Belarus,2019,0,0,0.1274047955511554
74,Belarus,2020,1,0,0.09651865387378031
75,Belarus,2021,0,1,0.6835044151988288
76,Belarus,2022,0,0,0.12139534839818686
77,Belarus,2023,0,0,0.2010837866597854
78,Belgium,2020,1,1,0.8205838391897656
79,Belgium,2021,1,1,0.9684683609274993
80,Belgium,2022,1,1,0.9684683609274993
81,Belgium,2023,1,1,0.9684683609274993
82,Benin,2017,0,0,0.1893967173073022
83,Benin,2018,1,0,0.16393388972708964
84,Benin,2019,1,1,0.9588541384676363
85,Benin,2020,1,1,0.9019426154873355
86,Benin,2021,1,1,0.869572012865007
87,Benin,2022,1,1,0.9536044399714536
88,Benin,2023,1,1,0.9764093839130986
89,Bhutan,2020,0,1,0.7019740359767453
90,Bhutan,2021,0,1,0.6975729887822361
91,Bhutan,2022,0,1,0.6764012391186586
92,Bhutan,2023,0,1,0.6149357296405192
93,Bolivia,2018,1,1,0.8205838391897656
94,Bolivia,2019,1,1,0.9684683609274993
95,Bolivia,2020,1,1,0.9684683609274993
96,Bolivia,2021,1,1,0.984631477982147
97,Bolivia,2022,1,1,0.9915711372992209
98,Bolivia,2023,1,1,0.9918187846493942
99,Bosnia-Herzegovina,2018,1,0,0.10865212260085988
100,Bosnia-Herzegovina,2019,1,1,0.8306525899393657
101,Bosnia-Herzegovina,2020,0,1,0.7120988931989533
102,Bosnia-Herzegovina,2021,0,0,0.12679872412102766
103,Bosnia-Herzegovina,2022,0,0,0.12597759023115215
