,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,1,0.6675744486585193
1,Afghanistan,2018,1,1,0.6665692161820479
2,Afghanistan,2019,0,1,0.6658422882427307
3,Afghanistan,2020,1,1,0.6340813316477032
4,Afghanistan,2021,1,1,0.6678367907903303
5,Afghanistan,2022,1,1,0.666384850400337
6,Afghanistan,2023,1,1,0.6600354844270774
7,Albania,2018,1,1,0.5916324273072061
8,Albania,2019,1,1,0.588787048742801
9,Albania,2020,1,1,0.5711836283185839
10,Albania,2021,1,1,0.5511158519454977
11,Albania,2022,0,1,0.57936068970361
12,Albania,2023,0,1,0.554987533361427
13,Algeria,2017,1,1,0.8981142014327855
14,Algeria,2018,1,1,0.8753871681415929
15,Algeria,2019,1,1,0.8517901039471837
16,Algeria,2020,1,1,0.7756839092569181
17,Algeria,2021,1,1,0.7860399985953082
18,Algeria,2022,1,1,0.6721045792948446
19,Algeria,2023,1,1,0.6075502177272091
20,Angola,2017,1,0,0.40798128248349486
21,Angola,2018,0,0,0.4423154586318303
22,Angola,2019,1,0,0.46563773001826103
23,Angola,2020,1,1,0.5399573324905184
24,Angola,2021,1,1,0.573143173198483
25,Angola,2022,1,1,0.5867493678887484
26,Angola,2023,1,0,0.4873419721871049
27,Argentina,2018,1,1,0.5790681786257007
28,Argentina,2019,1,1,0.6038804607388678
29,Argentina,2020,1,1,0.6330873526669987
30,Argentina,2021,1,1,0.6621433998646388
31,Argentina,2022,1,1,0.6242344430397527
32,Argentina,2023,1,1,0.6287363202186208
33,Armenia,2018,1,1,0.5755741677201853
34,Armenia,2019,1,1,0.6019525214215479
35,Armenia,2020,1,1,0.7270710422812192
36,Armenia,2021,1,1,0.6813904691670177
37,Armenia,2022,0,1,0.650785749403006
38,Armenia,2023,0,1,0.7355588916982722
39,Australia,2021,1,1,0.5544493608652901
40,Australia,2022,1,1,0.5360057592358477
41,Australia,2023,1,1,0.5346414524511869
42,Austria,2020,1,1,0.5661785363112796
43,Austria,2021,1,1,0.5583271878072762
44,Austria,2022,1,1,0.5627519665683381
45,Austria,2023,1,1,0.5565994170529568
46,Azerbaijan,2018,0,1,0.5407404480966428
47,Azerbaijan,2019,0,1,0.5362234864447254
48,Azerbaijan,2020,1,1,0.6189694830734654
49,Azerbaijan,2021,0,1,0.6300489886219977
50,Azerbaijan,2022,0,1,0.6234565950273917
51,Azerbaijan,2023,0,1,0.5714601769911507
52,Bahrain,2017,1,1,0.6516127616238234
53,Bahrain,2018,1,1,0.5897940370838601
54,Bahrain,2019,1,0,0.4637378845343448
55,Bahrain,2020,1,0,0.4447850821744627
56,Bahrain,2021,1,0,0.3752370417193425
57,Bahrain,2022,1,0,0.33402163225172077
58,Bahrain,2023,1,0,0.3377423093131058
59,Bangladesh,2017,1,1,0.862724591043175
60,Bangladesh,2018,1,1,0.7576659451659452
61,Bangladesh,2019,1,1,0.7179930627386378
62,Bangladesh,2020,1,1,0.7163337707032397
63,Bangladesh,2021,1,1,0.7089775760129743
64,Bangladesh,2022,1,1,0.7284404570355898
65,Bangladesh,2023,1,1,0.7119827382548622
66,Barbados,2018,0,1,0.5768585826661047
67,Barbados,2019,0,1,0.5549743643770192
68,Barbados,2020,0,1,0.5766189071498806
69,Barbados,2021,0,1,0.5788734372805169
70,Barbados,2022,0,1,0.5890504284309592
71,Barbados,2023,0,1,0.572273142295266
72,Belarus,2018,0,0,0.4795169616519176
73,Belarus,2019,0,0,0.4774784028655711
74,Belarus,2020,1,1,0.5950258382227411
75,Belarus,2021,0,1,0.5109620652209148
76,Belarus,2022,0,1,0.539954901293397
77,Belarus,2023,0,1,0.5312633715841681
78,Belgium,2020,1,1,0.5412698412698411
79,Belgium,2021,1,1,0.5183031324624244
80,Belgium,2022,1,1,0.5183031324624244
81,Belgium,2023,1,1,0.5115922180081471
82,Benin,2017,0,0,0.28518648878162156
83,Benin,2018,1,0,0.29070868291001034
84,Benin,2019,1,0,0.44523179008798486
85,Benin,2020,1,0,0.4747145123804416
86,Benin,2021,1,0,0.4699359269049536
87,Benin,2022,1,0,0.4485556417525445
88,Benin,2023,1,0,0.4671555153302941
89,Bhutan,2020,0,0,0.4837916139907291
90,Bhutan,2021,0,1,0.5622576906868944
91,Bhutan,2022,0,1,0.5635666877370419
92,Bhutan,2023,0,1,0.5744995785924991
93,Bolivia,2018,1,1,0.5691624685540614
94,Bolivia,2019,1,1,0.8548997401320413
95,Bolivia,2020,1,1,0.7841015240904623
96,Bolivia,2021,1,1,0.7095526216654536
97,Bolivia,2022,1,1,0.7745856159572975
98,Bolivia,2023,1,1,0.753721554993679
99,Bosnia-Herzegovina,2018,1,1,0.7096660345554152
100,Bosnia-Herzegovina,2019,1,1,0.6690318162663296
101,Bosnia-Herzegovina,2020,0,1,0.6851822587442058
102,Bosnia-Herzegovina,2021,0,1,0.6826432785503582
103,Bosnia-Herzegovina,2022,0,1,0.6795775389801938
104,Bosnia-Herzegovina,2023,0,1,0.674278339654446
105,Botswana,2017,0,0,0.07082192021351312
106,Botswana,2018,0,0,0.14616870346958846
107,Botswana,2019,0,0,0.25914805450203676
108,Botswana,2020,1,0,0.26837951257199033
109,Botswana,2021,0,0,0.319656026127265
110,Botswana,2022,1,0,0.33244047619047623
111,Botswana,2023,1,0,0.3490333965444585
112,Brazil,2018,1,1,0.7515723767383061
113,Brazil,2019,1,1,0.845119574378424
114,Brazil,2020,1,1,0.7637036451748843
115,Brazil,2021,1,1,0.7977533712600086
116,Brazil,2022,1,1,0.8132400969237255
117,Brazil,2023,1,1,0.7067056468605142
118,Bulgaria,2018,1,0,0.45474434611602743
119,Bulgaria,2019,1,0,0.43250983284169126
120,Bulgaria,2020,1,0,0.457079646017699
121,Bulgaria,2021,1,0,0.47544598960528156
122,Bulgaria,2022,0,0,0.4978174603174602
123,Bulgaria,2023,0,0,0.45420705155218427
124,Burkina Faso,2017,1,1,0.769516434892541
125,Burkina Faso,2018,1,1,0.6914287470150301
126,Burkina Faso,2019,1,1,0.660642295266189
127,Burkina Faso,2020,1,1,0.6573632181486164
128,Burkina Faso,2021,1,1,0.6395411925832281
129,Burkina Faso,2022,1,1,0.6386711616800111
130,Burkina Faso,2023,1,1,0.5997787610619468
131,Burundi,2017,1,1,0.6537294563843236
132,Burundi,2018,1,1,0.5664638643067849
133,Burundi,2019,1,1,0.5604113990729036
134,Burundi,2020,1,1,0.601977103525776
135,Burundi,2021,1,1,0.5557969869363677
136,Burundi,2022,1,0,0.4624148405674955
137,Burundi,2023,1,0,0.4921433839022336
138,Cambodia (Kampuchea),2017,1,0,0.40483740693917697
139,Cambodia (Kampuchea),2018,1,0,0.3886167298777919
140,Cambodia (Kampuchea),2019,0,0,0.3733828487147071
141,Cambodia (Kampuchea),2020,0,0,0.3688527180783818
142,Cambodia (Kampuchea),2021,0,0,0.3661557100716392
143,Cambodia (Kampuchea),2022,0,0,0.380114833544037
144,Cambodia (Kampuchea),2023,0,0,0.3814949431099873
145,Cameroon,2017,1,1,0.6332279814580699
146,Cameroon,2018,1,1,0.6853009822036369
147,Cameroon,2019,1,1,0.6629031735226427
148,Cameroon,2020,1,1,0.6808235275049433
149,Cameroon,2021,1,1,0.6676598106907843
150,Cameroon,2022,1,1,0.691811728094914
151,Cameroon,2023,1,1,0.6773785211838309
152,Canada,2021,1,1,0.5031482652057873
153,Canada,2022,1,1,0.5966533220957998
154,Canada,2023,1,1,0.6042491923022896
155,Cabo Verde,2020,0,1,0.7058733670459332
156,Cabo Verde,2021,0,1,0.681394858828487
157,Cabo Verde,2022,0,1,0.6732274546986935
158,Cabo Verde,2023,0,1,0.672121260008428
159,Central African Republic,2017,1,1,0.7701362550920073
160,Central African Republic,2018,1,1,0.7910547478578451
161,Central African Republic,2019,1,1,0.746493538418317
162,Central African Republic,2020,1,1,0.7377888397246801
163,Central African Republic,2021,1,1,0.7387370066020507
164,Central African Republic,2022,1,1,0.7553325607529146
165,Central African Republic,2023,1,1,0.6553299269560333
166,Chad,2017,0,0,0.22348820058997054
167,Chad,2018,0,0,0.29027602191319013
168,Chad,2019,1,0,0.33707859249894656
169,Chad,2020,1,0,0.35230720606826804
170,Chad,2021,1,0,0.42347503160556255
171,Chad,2022,1,0,0.4573351243152128
172,Chad,2023,1,0,0.45206226295828067
173,Chile,2018,1,1,0.5245188931029637
174,Chile,2019,1,1,0.5943671864025847
175,Chile,2020,1,1,0.5868292597274897
176,Chile,2021,1,1,0.6635219131900547
177,Chile,2022,1,1,0.6429449360865289
178,Chile,2023,1,1,0.6653980545020367
179,China,2018,1,0,0.2820936929344009
180,China,2019,1,0,0.25906377300182604
181,China,2020,1,0,0.2891259306082314
182,China,2021,1,0,0.310319216182048
183,China,2022,1,0,0.25374877089478853
184,China,2023,1,0,0.3108038348082595
185,Colombia,2018,1,1,0.8353262396403989
186,Colombia,2019,1,1,0.8535819637589549
187,Colombia,2020,1,1,0.8311209439528022
188,Colombia,2021,1,1,0.8366326028936649
189,Colombia,2022,1,1,0.819707824132603
190,Colombia,2023,1,1,0.8314124174743643
191,Comoros,2020,0,1,0.6668721028234303
192,Comoros,2021,0,1,0.6406236831015593
193,Comoros,2022,1,1,0.6381900547829751
194,Comoros,2023,0,1,0.6923356510745892
195,Costa Rica,2018,1,1,0.6634920634920632
196,Costa Rica,2019,1,1,0.608219202135131
197,Costa Rica,2020,1,1,0.6030938334035678
198,Costa Rica,2021,1,1,0.6057539682539681
199,Costa Rica,2022,1,1,0.6207982160415788
200,Costa Rica,2023,1,1,0.6090725523247645
201,Croatia,2018,0,1,0.5574273072060681
202,Croatia,2019,0,1,0.6085703750526757
203,Croatia,2020,0,1,0.7251896333754739
204,Croatia,2021,1,1,0.6267541087231353
205,Croatia,2022,0,1,0.5940107458912769
206,Croatia,2023,0,1,0.5674620733249052
207,Cuba,2018,0,0,0.24160872313527185
208,Cuba,2019,0,0,0.2409397387273494
209,Cuba,2020,1,0,0.252960387694901
210,Cuba,2021,1,0,0.261441213653603
211,Cuba,2022,1,0,0.26844711335861776
212,Cuba,2023,1,0,0.2775091304958561
213,Cyprus,2018,1,0,0.4860233178817248
214,Cyprus,2019,1,0,0.47980404551201006
215,Cyprus,2020,1,1,0.5148124736620311
216,Cyprus,2021,1,1,0.5459509762607107
217,Cyprus,2022,1,0,0.4877897176569742
218,Cyprus,2023,1,0,0.490370838600927
219,Czechia,2020,0,1,0.5606387835370136
220,Czechia,2021,0,1,0.5366923022896474
221,Czechia,2022,0,1,0.5713952100014048
222,Czechia,2023,1,1,0.5587845905323782
223,DR Congo (Zaire),2017,1,1,0.7635508849557523
224,DR Congo (Zaire),2018,1,1,0.8245706911083018
225,DR Congo (Zaire),2019,1,1,0.7304229877791825
226,DR Congo (Zaire),2020,1,1,0.7530420353982302
227,DR Congo (Zaire),2021,1,1,0.7184128739991571
228,DR Congo (Zaire),2022,1,1,0.7223705927798847
229,DR Congo (Zaire),2023,1,1,0.7599180011237532
230,Denmark,2020,1,1,0.5482959334176147
231,Denmark,2021,0,1,0.5305546776232616
232,Denmark,2022,0,0,0.494668317179379
233,Denmark,2023,0,0,0.4899485531675795
234,Djibouti,2017,0,0,0.17693692124001859
235,Djibouti,2018,0,0,0.14368152128107878
236,Djibouti,2019,0,0,0.1557706489675516
237,Djibouti,2020,0,0,0.19316002949852504
238,Djibouti,2021,0,0,0.2810621224891136
239,Djibouti,2022,0,0,0.29281675797162515
240,Djibouti,2023,1,0,0.3230053378283467
241,Dominican Republic,2018,1,1,0.6712082104228122
242,Dominican Republic,2019,1,1,0.675690932715269
243,Dominican Republic,2020,0,1,0.5989271667369013
244,Dominican Republic,2021,1,1,0.5891961651917405
245,Dominican Republic,2022,1,1,0.592825537294564
246,Dominican Republic,2023,1,1,0.5950379266750948
247,East Timor,2020,0,0,0.445525179098188
248,East Timor,2021,0,0,0.48953329119258315
249,East Timor,2022,0,0,0.4980404551201011
250,East Timor,2023,0,0,0.49174655850540805
251,Ecuador,2018,1,1,0.6860953083298215
252,Ecuador,2019,1,1,0.670682328978789
253,Ecuador,2020,1,1,0.6568180221941283
254,Ecuador,2021,1,1,0.6762291052114058
255,Ecuador,2022,1,1,0.6958456243854472
256,Ecuador,2023,1,1,0.7583877651355525
257,Egypt,2017,1,1,0.8900275670740274
258,Egypt,2018,1,1,0.8266777286135693
259,Egypt,2019,1,1,0.7308970712178678
260,Egypt,2020,1,1,0.6633401812052255
261,Egypt,2021,1,1,0.6925911293721031
262,Egypt,2022,1,1,0.7180125368731566
263,Egypt,2023,0,1,0.7117599030762749
264,El Salvador,2018,1,1,0.6641619258322798
265,El Salvador,2019,1,1,0.6783027812895069
266,El Salvador,2020,1,1,0.7609355246523389
267,El Salvador,2021,1,1,0.7412426253687316
268,El Salvador,2022,0,1,0.7578724188790561
269,El Salvador,2023,0,1,0.7446665613147915
270,Equatorial Guinea,2017,0,0,0.05936051411715128
271,Equatorial Guinea,2018,0,0,0.08357037505267594
272,Equatorial Guinea,2019,0,0,0.09462354263239219
273,Equatorial Guinea,2020,0,0,0.12911223486444726
274,Equatorial Guinea,2021,0,0,0.15637642225031603
275,Equatorial Guinea,2022,0,0,0.20582156904059565
276,Equatorial Guinea,2023,0,0,0.23265995926394165
277,Eritrea,2017,0,0,0.06771491782553729
278,Eritrea,2018,0,0,0.13449747155499367
279,Eritrea,2019,0,0,0.20112726506531814
280,Eritrea,2020,0,0,0.28537013625509206
281,Eritrea,2021,0,0,0.2944040595589268
282,Eritrea,2022,0,0,0.32409924146649816
283,Eritrea,2023,0,0,0.34956103385306914
284,Estonia,2020,0,0,0.48807767944936076
285,Estonia,2021,0,0,0.4828100856861918
286,Estonia,2022,0,0,0.4828100856861918
287,Estonia,2023,0,0,0.4828100856861918
288,Ethiopia,2017,1,1,0.5591199606686332
289,Ethiopia,2018,1,1,0.6094684997892962
290,Ethiopia,2019,1,1,0.7121154656552886
291,Ethiopia,2020,1,1,0.64780604719764
292,Ethiopia,2021,1,1,0.680430889169827
293,Ethiopia,2022,1,1,0.6768515592077536
294,Ethiopia,2023,1,1,0.6066187315634219
295,Fiji,2021,0,1,0.6576669827222923
296,Fiji,2022,0,1,0.6053905042843096
297,Fiji,2023,0,1,0.5912118977384463
298,Finland,2020,1,0,0.4796021210844219
299,Finland,2021,0,0,0.4858178817249613
300,Finland,2022,0,0,0.4825519735917965
301,Finland,2023,0,0,0.4765477946340777
302,France,2020,1,1,0.6031781149037785
303,France,2021,1,1,0.6001229105211405
304,France,2022,1,1,0.6023352999016716
305,France,2023,1,1,0.6031219272369714
306,Gabon,2017,0,1,0.6056028042753706
307,Gabon,2018,1,1,0.6342286646490187
308,Gabon,2019,1,1,0.6071532327063301
309,Gabon,2020,1,1,0.571031746031746
310,Gabon,2021,1,1,0.598184276392241
311,Gabon,2022,1,1,0.5680676869836161
312,Gabon,2023,1,1,0.6188974926253684
313,Gambia,2017,1,1,0.6107915437561454
314,Gambia,2018,0,1,0.5472327574097485
315,Gambia,2019,0,1,0.5080365922180081
316,Gambia,2020,1,0,0.4518524371400478
317,Gambia,2021,1,1,0.5583052394999297
318,Gambia,2022,0,0,0.36041930046354814
319,Gambia,2023,0,0,0.38781605562578997
320,Georgia,2018,1,0,0.4536644893945777
321,Georgia,2019,1,0,0.4335106756566933
322,Georgia,2020,1,1,0.521374139626352
323,Georgia,2021,1,0,0.4900740974856019
324,Georgia,2022,1,0,0.4968218850962213
325,Georgia,2023,1,0,0.44664805450203676
326,Germany,2020,1,1,0.560327835880933
327,Germany,2021,1,1,0.5594850208788261
328,Germany,2022,1,1,0.5594850208788261
329,Germany,2023,1,1,0.5490867907903305
330,Ghana,2017,1,1,0.7847563019576295
331,Ghana,2018,1,1,0.8300226506531815
332,Ghana,2019,1,1,0.6613084862531764
333,Ghana,2020,1,1,0.7163732776564634
334,Ghana,2021,1,1,0.6988894156482651
335,Ghana,2022,1,1,0.7271500561876666
336,Ghana,2023,1,1,0.6686446481247365
337,Greece,2018,1,1,0.6472626071077398
338,Greece,2019,1,1,0.6534019876387132
339,Greece,2020,1,1,0.5627440651776935
340,Greece,2021,1,1,0.5740667579716252
341,Greece,2022,1,1,0.5636290209299059
342,Greece,2023,1,1,0.5584378072763028
343,Guatemala,2018,1,1,0.8041227700519733
344,Guatemala,2019,1,1,0.8358345624385448
345,Guatemala,2020,1,1,0.8126079856721449
346,Guatemala,2021,1,1,0.7854693426042983
347,Guatemala,2022,1,1,0.7819505899705014
348,Guatemala,2023,1,1,0.7976401179941002
349,Guinea,2017,1,1,0.8629617923865711
350,Guinea,2018,1,1,0.8869732406236832
351,Guinea,2019,1,1,0.8339470080067425
352,Guinea,2020,1,1,0.6748303994432313
353,Guinea,2021,1,1,0.6000516383812843
354,Guinea,2022,1,1,0.5753713653603035
355,Guinea,2023,1,1,0.5346562176761293
356,Guinea-Bissau,2017,0,0,0.3534792456805732
357,Guinea-Bissau,2018,0,0,0.4703829540665823
358,Guinea-Bissau,2019,0,0,0.4742176027021161
359,Guinea-Bissau,2020,0,1,0.5562833614271668
360,Guinea-Bissau,2021,0,1,0.552185013855368
361,Guinea-Bissau,2022,0,1,0.6712521070375053
362,Guinea-Bissau,2023,0,1,0.6857063843236411
363,Guyana,2018,0,1,0.6241921426655941
364,Guyana,2019,0,1,0.594640941654216
365,Guyana,2020,1,1,0.6620872121978315
366,Guyana,2021,1,1,0.6911300904110638
367,Guyana,2022,1,1,0.6909351894418266
368,Guyana,2023,1,1,0.7005090411063861
369,Haiti,2018,1,1,0.6087178676780448
370,Haiti,2019,1,1,0.6264117151285293
371,Haiti,2020,1,1,0.606244732406237
372,Haiti,2021,1,1,0.6466577117572693
373,Haiti,2022,1,1,0.6599162452591655
374,Haiti,2023,1,1,0.6620136255092006
375,Honduras,2018,1,1,0.8015328697850823
376,Honduras,2019,1,1,0.8242414664981037
377,Honduras,2020,1,1,0.7829909397387276
378,Honduras,2021,1,1,0.8395438263801095
379,Honduras,2022,1,1,0.735663365641242
380,Honduras,2023,1,1,0.6311832771456665
381,Hungary,2020,0,0,0.43626387133024297
382,Hungary,2021,0,1,0.5023089619328558
383,Hungary,2022,0,1,0.501413470993117
384,Hungary,2023,1,1,0.5012238376176429
385,Iceland,2020,0,1,0.5059883761764292
